id,DOE,Age,First_Name,Last_Name,Gender,profession,Working_experience,Salary,Platforms,Hobbies,Counttyandstate,demographics,indebt,isHomeOwner,Owns_Car,Phone
1001,4/27/2021 11:02,56,Frodo,Baggins,male,Software Engineer,3,"$19,774 ",Instagram,Sports,"America, Wisconsin",Urban,TRUE,FALSE,FALSE,030-0074321
1002,4/27/2021 11:02,46,Abed,Nadir,female,Student,2,"$10,564 ",Facebook,Travel,"America, South Carolina",Urban,TRUE,TRUE,TRUE,(5) 555-4729
1003,4/27/2021 11:02,32,Walter,/White,male,Marketer Manager,8,"$13,258 ",Instagram,Sports,"America, New Hampshire",Sub_Urban,FALSE,FALSE,FALSE,(5) 555-3932
1004,4/27/2021 11:02,60,Dwight,Schrute,non-binary,Student,5,"$12,500 ",Instagram,Travel,"America, South Carolina",Urban,FALSE,TRUE,FALSE,(171) 555-7788
1005,4/27/2021 11:02,25,Jon,Snow,male,Software Engineer,1,"$14,566 ",Instagram,Lifestlye,"America, Arizona",Urban,FALSE,TRUE,TRUE,0921-12 34 65
1006,4/27/2021 11:02,38,Ron,Swanson,male,Marketer Manager,3,"$19,179 ",Facebook,Travel,"America, Missouri",Urban,TRUE,TRUE,TRUE,0621-08460
1007,4/27/2021 11:02,56,Jeff,  Winger,male,Student,8,"$16,881 ",YouTube,Sports,"America, Florida",Urban,TRUE,TRUE,TRUE,88.60.15.31
1008,4/27/2021 11:03,36,Sherlock,Holmes,male,Marketer Manager,4,"$13,636 ",Instagram,Sports,"America, ",Urban,TRUE,FALSE,TRUE,(91) 555 22 82
1009,4/27/2021 11:03,40,Gandalf,,non-binary,Marketer Manager,7,"$16,030 ",YouTube,Lifestlye,"America, Pennsylvania",Sub_Urban,FALSE,FALSE,TRUE,91.24.45.40
1010,4/27/2021 11:03,28,Peter,Parker,non-binary,Marketer Manager,2,"$10,223 ",Instagram,Sports,"America, Michigan",Sub_Urban,TRUE,FALSE,TRUE,(604) 555-4729
1011,4/27/2021 11:03,28,   Samwise,Gamgee,female,Student,7,"$16,297 ",YouTube,Lifestlye,"America, Minnesota",Urban,TRUE,TRUE,FALSE,(171) 555-1212
1012,4/27/2021 11:03,41,Harry,...Potter,non-binary,Marketer Manager,5,"$10,350 ",Facebook,Sports,"America, ",Sub_Urban,FALSE,FALSE,FALSE,(1) 135-5555
1013,4/27/2021 11:03,53,Don,Draper,non-binary,Student,5,"$17,314 ",Facebook,Sports,"America, ",Rural,FALSE,TRUE,TRUE,(5) 555-3392
1014,4/27/2021 11:03,57,Leslie,Knope,female,Software Engineer,6,"$11,928 ",Instagram,Lifestlye,"America, Illinois",Urban,FALSE,TRUE,FALSE,0452-076545
1015,4/27/2021 11:03,41,Toby,Flenderson_,non-binary,Student,9,"$17,743 ",YouTube,Travel,"America, California",Rural,TRUE,TRUE,FALSE,(11) 555-7647
1016,4/27/2021 11:03,20,        Ron,Weasley,male,Software Engineer,6,"$18,540 ",Facebook,Sports,"America, Georgia",Sub_Urban,TRUE,TRUE,FALSE,(171) 555-2282
1017,4/27/2021 11:03,39,Michael ,Scott,male,Student,8,"$14,732 ",Instagram,Travel,"America, Florida",Sub_Urban,TRUE,TRUE,FALSE,0241-039123
1018,4/27/2021 11:03,19,Clark,Kent,female,Marketer Manager,7,"$11,017 ",Instagram,Sports,"America, Pennsylvania",Rural,FALSE,TRUE,TRUE,40.67.88.88
1019,4/27/2021 11:03,41,Creed,Braton,female,Student,9,"$12,226 ",Facebook,Sports,"America, ",Sub_Urban,FALSE,FALSE,FALSE,(171) 555-0297
1020,4/27/2021 11:03,61,Anakin,Skywalker,female,Marketer Manager,4,"$17,206 ",Facebook,Sports,"America, ",Urban,FALSE,FALSE,FALSE,7675-3425
1021,4/27/2021 11:03,47,Anakin,Skywalker,male,Software Engineer,2,"$17,170 ",Instagram,Sports,"America, Ohio",Rural,FALSE,FALSE,TRUE,(11) 555-9857
1022,4/27/2021 11:03,55,maria,anders ,non-binary,Student,7,"$16,207 ",YouTube,Travel,"America, Florida",Urban,TRUE,FALSE,TRUE,(91) 555 94 44
1023,4/27/2021 11:03,19,ana,trujillo,male,Marketer Manager,6,"$12,419 ",YouTube,Travel,"Brazil, Washington",Rural,TRUE,TRUE,TRUE,20.16.10.16
1024,4/27/2021 11:03,38,antonio,moreno,female,Software Engineer,1,"$16,240 ",YouTube,Sports,"Brazil, Indiana",Sub_Urban,TRUE,TRUE,TRUE,0695-34 67 21
1025,4/27/2021 11:03,50,thomas,hardy,non-binary,Software Engineer,9,"$11,893 ",Instagram,Sports,"Brazil, Tennessee",Rural,TRUE,FALSE,FALSE,089-0877310
1026,4/27/2021 11:03,29,christina,berglund,non-binary,Student,9,"$15,322 ",Facebook,Travel,"Brazil, Maryland",Rural,TRUE,FALSE,TRUE,40.32.21.21
1027,4/27/2021 11:03,39,hanna,moos,male,Software Engineer,2,"$17,718 ",Instagram,Lifestlye,"Brazil, District of Columbia",Urban,TRUE,FALSE,FALSE,011-4988260
1028,4/27/2021 11:03,61,frédérique,citeaux,female,Marketer Manager,3,"$16,878 ",Facebook,Lifestlye,"Brazil, Ohio",Sub_Urban,TRUE,FALSE,FALSE,(1) 354-2534
1029,4/27/2021 11:03,42,martín,sommer,male,Software Engineer,5,"$11,125 ",YouTube,Travel,"Brazil, ",Urban,TRUE,FALSE,TRUE,(93) 203 4560
1030,4/27/2021 11:03,44,laurence,lebihan,non-binary,Software Engineer,5,"$13,117 ",YouTube,Sports,"Brazil, Florida",Sub_Urban,FALSE,FALSE,TRUE,(95) 555 82 82
1031,4/27/2021 11:03,59,elizabeth,lincoln,male,Marketer Manager,1,"$14,161 ",Facebook,Sports,"Brazil, North Carolina",Urban,FALSE,FALSE,TRUE,(11) 555-9482
1032,4/27/2021 11:03,45,victoria,ashworth,male,Software Engineer,8,"$14,042 ",Facebook,Lifestlye,"Brazil, Indiana",Rural,TRUE,FALSE,TRUE,(503) 555-7555
1033,4/27/2021 11:03,33,patricio,simpson,female,Software Engineer,8,"$14,433 ",Instagram,Lifestlye,"Brazil, New York",Urban,FALSE,TRUE,TRUE,(2) 283-2951
1034,4/27/2021 11:03,32,francisco,chang,female,Software Engineer,4,"$18,638 ",YouTube,Travel,"Brazil, Arizona",Sub_Urban,TRUE,TRUE,TRUE,(21) 555-0091
1035,4/27/2021 11:03,64,yang,wang,non-binary,Software Engineer,7,"$12,658 ",Instagram,Lifestlye,"brazil, Minnesota",Sub_Urban,TRUE,TRUE,FALSE,(5) 555-1340
1036,4/27/2021 11:03,61,pedro,afonso,male,Marketer Manager,3,"$13,483 ",Instagram,Travel,"Brazil, ",Rural,FALSE,TRUE,FALSE,(503) 555-6874
1037,4/27/2021 11:03,20,elizabeth,brown,male,Software Engineer,6,"$12,944 ",Instagram,Lifestlye,"Brazil, New York",Sub_Urban,TRUE,FALSE,FALSE,2967 542
1038,4/27/2021 11:03,54,sven,ottlieb,male,Marketer Manager,9,"$17,210 ",YouTube,Lifestlye,"Brazil, Florida",Urban,TRUE,TRUE,FALSE,(198) 555-8888
1039,4/27/2021 11:03,24,janine,labrune,non-binary,Software Engineer,1,"$17,653 ",Instagram,Lifestlye,"Brazil, Mississippi",Rural,TRUE,FALSE,TRUE,0555-09876
1040,4/27/2021 11:03,38,ann,devon,non-binary,Software Engineer,5,"$18,787 ",Instagram,Sports,"Brazil, Virginia",Sub_Urban,TRUE,TRUE,TRUE,30.59.84.10
1041,4/27/2021 11:04,26,roland,mendel,female,Software Engineer,4,"$11,986 ",Instagram,Sports,"Brazil, MassachUnited States of America s of Americaetts",Sub_Urban,TRUE,FALSE,FALSE,61.77.61.10
